Date,AMZN,PCLN
2017-08-03,986.919983,2027.97998
2017-08-04,987.580017,2032.77002
2017-08-07,992.27002,2042.640015
2017-08-08,989.840027,2049.0
2017-08-09,982.01001,1906.800049
2017-08-10,956.919983,1849.619995
2017-08-11,967.98999,1854.170044
2017-08-14,983.299988,1873.949951
2017-08-15,982.73999,1860.839966
2017-08-16,978.179993,1855.719971
2017-08-17,960.570007,1812.969971
2017-08-18,958.469971,1810.0
2017-08-21,953.289978,1801.540039
2017-08-22,966.900024,1818.199951
2017-08-23,958.0,1813.02002
2017-08-24,952.450012,1815.51001
2017-08-25,945.26001,1793.47998
2017-08-28,946.02002,1789.910034
2017-08-29,954.059998,1807.060059
2017-08-30,967.590027,1813.0
2017-08-31,980.599976,1852.079956
2017-09-01,978.25,1850.819946
2017-09-05,965.27002,1842.890015
2017-09-06,967.799988,1842.449951
2017-09-07,979.469971,1845.369995
2017-09-08,965.900024,1838.569946
2017-09-11,977.960022,1868.859985
2017-09-12,982.580017,1868.640015
2017-09-13,999.599976,1871.170044
2017-09-14,992.210022,1845.290039
2017-09-15,986.789978,1843.199951
2017-09-18,974.190002,1854.180054
2017-09-19,969.859985,1859.780029
2017-09-20,973.210022,1866.209961
2017-09-21,964.650024,1866.349976
2017-09-22,955.099976,1862.130005
2017-09-25,939.789978,1829.550049
2017-09-26,938.599976,1825.920044
2017-09-27,950.869995,1818.98999
2017-09-28,956.400024,1811.689941
2017-09-29,961.349976,1830.819946
2017-10-02,959.190002,1857.469971
2017-10-03,957.099976,1867.650024
2017-10-04,965.450012,1888.699951
2017-10-05,980.849976,1909.609985
2017-10-06,989.580017,1918.0
2017-10-09,990.98999,1926.930054
2017-10-10,987.200012,1916.650024
2017-10-11,990.344971,1915.0
