,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
352,0.38,0.0316272370834,0.00152270566126,0.32,0.3,20.7704206322
353,0.04,0.0315749423056,0.00262156064336,0.56,0.4,12.0443303059
354,0.14,0.0270075436203,0.00260042944064,0.56,0.3,10.3858013597
355,0.34,0.0198204275382,0.00243894202444,0.53,0.13,8.12664972746
356,0.19,0.0357607049124,0.0017955176154,0.39,0.42,19.9166550111
357,0.03,0.0235917299241,0.00325724995089,0.69,0.28,7.2428368347
358,0.09,0.0325373784438,0.00236962579153,0.51,0.4,13.7310197078
359,0.4,0.0385044825002,0.00111807634845,0.2,0.4,34.4381513425
360,0.17,0.0282342323994,0.00240456170936,0.52,0.31,11.7419454404
361,0.25,0.0258787676434,0.00230246996549,0.5,0.25,11.2395679559
362,0.46,0.0299209994236,0.00144135781449,0.29,0.25,20.7588977024
363,0.27,0.0308083317718,0.00188821066243,0.41,0.32,16.3161517858
364,0.06,0.0391014148186,0.00199312441107,0.43,0.51,19.6181505788
365,0.53,0.0247761390554,0.00158297777823,0.32,0.15,15.6516025659
366,0.28,0.0303515919033,0.00188876949254,0.41,0.31,16.0695055819
367,0.41,0.0205186110354,0.00216822276963,0.47,0.12,9.4633315925
368,0.45,0.0147962889843,0.00244171718869,0.53,0.02,6.05978819041
369,0.79,0.0278331256853,0.00139504970129,0.09,0.12,19.9513505932
370,0.05,0.0447519714564,0.00161865907411,0.35,0.6,27.6475585083
371,0.5,0.0326386296226,0.00124443039748,0.22,0.28,26.2277662846
372,0.14,0.0224629539472,0.00293781893144,0.63,0.23,7.64613288683
373,0.22,0.0571134336723,0.000743179982374,0.04,0.74,76.8500700058
