Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2017-01-05,116.610001,780.450012,22.68,33.080002,44.889999,43.220001,226.75
2017-01-06,117.910004,795.98999,22.68,33.189999,44.869999,43.849998,229.009995
2017-01-09,118.989998,796.919983,22.549999,33.25,44.299999,42.709999,231.279999
2017-01-10,119.110001,795.900024,22.940001,33.009998,43.580002,43.060001,229.869995
2017-01-11,119.75,799.02002,23.07,33.0,43.560001,43.669998,229.729996
2017-01-12,119.25,813.640015,22.92,33.060001,43.470001,43.630001,229.589996
2017-01-13,119.040001,817.140015,23.01,33.09,43.779999,43.810001,237.75
2017-01-17,120.0,809.719971,22.049999,32.799999,44.52,42.150002,235.580002
2017-01-18,119.989998,807.47998,22.629999,32.700001,44.740002,42.860001,238.360001
2017-01-19,119.779999,809.039978,22.530001,32.549999,44.93,42.450001,243.759995
2017-01-20,120.0,808.330017,22.639999,32.57,45.549999,42.59,244.729996
2017-01-23,120.080002,817.880005,22.559999,32.450001,45.529999,41.959999,248.919998
2017-01-24,119.970001,822.440002,22.950001,32.950001,46.09,42.73,254.610001
2017-01-25,121.879997,836.52002,23.370001,31.309999,46.23,43.860001,254.470001
2017-01-26,121.940002,839.150024,23.440001,31.34,46.099998,44.02,252.509995
2017-01-27,121.949997,835.77002,23.360001,31.129999,45.34,43.650002,252.949997
2017-01-30,121.629997,830.380005,22.950001,31.129999,45.310001,43.119999,250.630005
2017-01-31,121.349998,823.47998,22.639999,31.27,45.220001,42.490002,251.929993
2017-02-01,128.75,832.349976,22.889999,30.950001,45.25,42.700001,249.240005
2017-02-02,128.529999,839.950012,22.719999,31.43,45.529999,42.130001,251.550003
2017-02-03,129.080002,810.200012,23.290001,31.860001,45.810001,44.43,251.330002
2017-02-06,130.289993,807.640015,23.120001,31.84,45.450001,44.630001,257.769989
2017-02-07,131.529999,812.5,22.9,31.49,47.27,44.869999,257.480011
2017-02-08,132.039993,819.710022,22.67,31.34,47.830002,43.91,262.079987
2017-02-09,132.419998,821.359985,23.120001,31.59,48.07,44.849998,269.200012
2017-02-10,132.119995,827.460022,23.08,31.77,48.240002,44.700001,269.230011
2017-02-13,133.289993,836.530029,23.4,31.85,48.419998,45.259998,280.600006
2017-02-14,135.020004,836.390015,24.059999,31.67,48.529999,46.040001,280.980011
2017-02-15,135.509995,842.700012,24.58,31.690001,48.790001,46.490002,279.76001
2017-02-16,135.350006,844.140015,24.58,31.889999,48.93,46.110001,268.950012
2017-02-17,135.720001,845.070007,24.52,32.09,49.700001,46.150002,272.230011
2017-02-21,136.699997,856.440002,24.780001,32.150002,49.610001,46.560001,277.390015
2017-02-22,137.110001,855.609985,24.790001,32.220001,49.689999,46.52,273.51001
2017-02-23,136.529999,852.190002,24.58,32.25,49.619999,46.580002,255.990005
2017-02-24,136.660004,845.23999,24.23,32.630001,49.529999,45.529999,257.0
2017-02-27,136.929993,848.640015,24.57,32.57,49.560001,45.84,246.229996
2017-02-28,136.990005,845.039978,24.68,32.27,49.84,45.669998,249.990005
2017-03-01,139.789993,853.080017,25.5,32.75,50.23,46.810001,250.020004
2017-03-02,138.960007,848.909973,25.23,32.630001,50.189999,46.279999,250.479996
2017-03-03,139.779999,849.880005,25.440001,32.48,49.849998,46.830002,251.570007
2017-03-06,139.339996,846.609985,25.25,32.82,49.669998,46.57,251.210007
2017-03-07,139.520004,846.02002,25.209999,31.969999,49.549999,46.330002,248.589996
2017-03-08,139.0,850.5,25.26,32.049999,49.509998,46.389999,246.869995
2017-03-09,138.679993,853.0,25.35,32.130001,49.630001,46.68,244.899994
2017-03-10,139.139999,852.460022,25.309999,32.400002,50.029999,46.490002,243.690002
2017-03-13,139.199997,854.590027,25.299999,32.599998,49.849998,46.259998,246.169998
2017-03-14,138.990005,852.530029,25.32,32.330002,49.75,46.189999,258.0
2017-03-15,140.460007,852.969971,25.18,32.689999,50.18,45.849998,255.729996
2017-03-16,140.690002,853.419983,25.219999,32.349998,50.110001,46.330002,262.049988
2017-03-17,139.990005,852.309998,24.860001,32.43,50.099998,45.02,261.5
2017-03-20,141.460007,856.969971,24.440001,32.349998,50.189999,44.59,261.920013
2017-03-21,139.839996,843.200012,23.02,31.860001,50.34,42.66,250.679993
2017-03-22,141.419998,848.059998,22.940001,32.009998,50.279999,42.209999,255.009995
2017-03-23,140.919998,847.380005,23.07,31.91,50.34,42.59,254.779999
2017-03-24,140.639999,845.609985,23.120001,31.860001,50.220001,42.459999,263.160004
2017-03-27,140.880005,846.820007,23.030001,31.700001,50.279999,41.580002,270.220001
2017-03-28,143.800003,856.0,23.48,31.84,50.259998,42.490002,277.450012
2017-03-29,144.119995,874.320007,23.35,31.860001,50.040001,42.799999,277.380005
