Date,AAL,DAL,JBLU,LUV
2012-07-25,10.808402,8.973253,5.26,8.136272
2012-07-26,10.847177,8.916402,5.2,8.337999
2012-07-27,11.002274,8.925876,5.44,8.549328
2012-07-30,10.944112,8.973253,5.41,8.789478
2012-07-31,11.108903,9.143811,5.51,8.827905
2012-08-01,10.498205,8.982726,5.07,8.818296
2012-08-02,10.352803,8.745842,5.1,8.587754
2012-08-03,10.556368,8.802696,5.07,8.770267
2012-08-06,10.478819,8.8785,5.13,8.895145
2012-08-07,9.635472,8.831122,5.07,8.731842
2012-08-08,10.081379,8.897449,5.13,8.741449
2012-08-09,9.742104,8.594235,5.02,8.683813
2012-08-10,9.761489,8.584762,5.0,8.712632
2012-08-13,9.809958,8.774268,5.01,8.76066
2012-08-14,9.809958,8.793219,5.04,8.664495
2012-08-15,9.83904,8.774268,5.08,8.674113
2012-08-16,9.606391,8.556334,5.1,8.722193
2012-08-17,9.771183,8.651089,5.06,8.779895
2012-08-20,10.265557,8.963778,5.27,9.078005
2012-08-21,11.070132,9.200665,5.27,9.097239
2012-08-22,11.254309,9.030105,5.18,8.962608
2012-08-23,10.701771,8.67004,5.08,8.943374
2012-08-24,10.769628,8.632137,5.07,8.856825
2012-08-27,10.701771,8.584762,5.02,8.722193
2012-08-28,10.478819,8.243644,4.89,8.635646
2012-08-29,10.129848,8.158363,4.89,8.549099
2012-08-30,10.081379,8.101512,4.94,8.616414
2012-08-31,10.333414,8.196267,4.9,8.59718
2012-09-04,10.129848,8.110988,4.89,8.510631
2012-09-05,10.876257,8.414202,4.9,8.741427
2012-09-06,11.070132,8.717417,5.0,8.856825
2012-09-07,11.768072,8.793219,5.1,8.837592
2012-09-10,11.632361,8.887974,5.04,8.799126
2012-09-11,11.264001,8.793219,4.99,8.606795
2012-09-12,11.457875,9.001678,5.09,8.827975
2012-09-13,10.905337,8.954302,5.05,8.76066
2012-09-14,10.207396,8.783745,4.95,8.722193
2012-09-17,10.236479,8.745842,4.93,8.702962
2012-09-18,9.994137,8.490005,4.87,8.577949
2012-09-19,10.633916,8.8785,5.09,8.712582
2012-09-20,10.352803,8.67004,5.0,8.59718
2012-09-21,10.343108,8.594235,4.97,8.501014
2012-09-24,10.188011,8.651089,4.96,8.549099
2012-09-25,9.965056,8.546858,4.89,8.501014
2012-09-26,10.178315,8.679514,4.9,8.577949
2012-09-27,10.042604,8.745842,4.84,8.539481
2012-09-28,10.139541,8.679514,4.8,8.433699
2012-10-01,10.420657,8.973253,4.87,8.52025
2012-10-02,10.546675,9.257519,4.98,8.635646
2012-10-03,11.4191,9.62706,5.13,8.78951
2012-10-04,11.31247,9.608109,5.14,8.751046
2012-10-05,11.302776,9.740764,5.15,8.626031
2012-10-08,11.215534,9.598633,5.09,8.52025
2012-10-09,10.953808,9.371222,5.0,8.414466
2012-10-10,10.992581,9.323845,5.09,8.433699
2012-10-11,10.827789,9.238566,5.07,8.375998
2012-10-12,11.011967,9.494405,5.09,8.501014
2012-10-15,11.070132,9.579683,5.19,8.549099
2012-10-16,11.225229,9.465977,5.2,8.539481
2012-10-17,11.264001,9.655487,5.26,8.606795
2012-10-18,11.360938,9.674436,5.31,8.635646
2012-10-19,11.118599,9.475452,5.2,8.539481
2012-10-22,11.554811,9.608109,5.21,8.4914
2012-10-23,11.719602,9.617583,5.24,8.452933
2012-10-24,11.991025,9.513352,5.2,8.414466
2012-10-25,11.603281,9.134336,5.25,8.4914
2012-10-26,11.554811,9.134336,5.22,8.404848
2012-10-31,11.806847,9.12486,5.29,8.481781
2012-11-01,12.165511,9.19119,5.35,8.702962
