,Adj Close,Close,Date,Ticker
359,44.77,44.77,2017-10-03,BEN
360,60.220001,60.220001,2017-10-03,BHF
361,36.669998,36.669998,2017-10-03,BHGE
362,317.390015,317.390015,2017-10-03,BIIB
363,53.799999,53.799999,2017-10-03,BK
364,450.790009,450.790009,2017-10-03,BLK
365,41.580002,41.580002,2017-10-03,BLL
366,63.90271,64.290001,2017-10-03,BMY
367,29.02,29.02,2017-10-03,BSX
368,51.810001,51.810001,2017-10-03,BWA
369,122.360001,122.360001,2017-10-03,BXP
370,74.129997,74.129997,2017-10-03,C
371,33.57,33.57,2017-10-03,CA
372,33.41,33.41,2017-10-03,CAG
373,67.599998,67.599998,2017-10-03,CAH
374,125.510002,125.510002,2017-10-03,CAT
375,144.699997,144.699997,2017-10-03,CB
376,38.330002,38.330002,2017-10-03,CBG
377,109.07,109.07,2017-10-03,CBOE
378,58.889999,58.889999,2017-10-03,CBS
379,99.650002,99.650002,2017-10-03,CCI
380,64.099998,64.099998,2017-10-03,CCL
381,40.060001,40.060001,2017-10-03,CDNS
382,146.080002,146.080002,2017-10-03,CELG
383,72.050003,72.050003,2017-10-03,CERN
384,35.389999,35.389999,2017-10-03,CF
385,36.84,36.84,2017-10-03,CFG
386,47.360001,47.360001,2017-10-03,CHD
387,4.29,4.29,2017-10-03,CHK
388,76.129997,76.129997,2017-10-03,CHRW
389,109.400002,109.400002,2017-10-03,MAR
390,119.150276,119.690002,2017-10-03,MON
391,35.130001,35.130001,2017-10-03,NOV
392,64.870003,64.870003,2017-10-02,A
393,47.73,47.73,2017-10-02,AAL
394,99.360001,99.360001,2017-10-02,AAP
395,153.809998,153.809998,2017-10-02,AAPL
396,90.389999,90.389999,2017-10-02,ABBV
397,83.300003,83.300003,2017-10-02,ABC
398,53.68,53.68,2017-10-02,ABT
399,135.440002,135.440002,2017-10-02,ACN
400,147.940002,147.940002,2017-10-02,ADBE
401,85.82,85.82,2017-10-02,ADI
402,42.619999,42.619999,2017-10-02,ADM
403,109.32,109.32,2017-10-02,ADP
404,223.699997,223.699997,2017-10-02,ADS
405,112.470001,112.470001,2017-10-02,ADSK
406,58.389999,58.389999,2017-10-02,AEE
407,70.43,70.43,2017-10-02,AEP
