Date,AAL,DAL,JBLU
2015-11-18,41.75,47.75,25.469999
2015-11-19,42.299999,48.509998,25.67
2015-11-20,42.200001,48.759998,25.85
2015-11-23,42.299999,48.740002,25.790001
2015-11-24,41.23,47.240002,25.34
2015-11-25,41.310001,46.869999,25.08
2015-11-27,41.689999,47.139999,25.219999
2015-11-30,41.259998,46.459999,24.74
2015-12-01,43.259998,47.669998,25.540001
2015-12-02,43.82,48.330002,25.59
2015-12-03,43.27,48.220001,24.700001
2015-12-04,44.970001,49.779999,25.48
2015-12-07,45.779999,51.779999,26.49
2015-12-08,44.549999,50.27,26.1
2015-12-09,43.650002,49.509998,25.33
2015-12-10,44.09,51.279999,25.440001
2015-12-11,42.09,49.279999,23.440001
2015-12-14,41.77,50.18,23.120001
2015-12-15,42.599998,51.150002,23.200001
2015-12-16,43.200001,52.119999,23.18
2015-12-17,42.459999,51.029999,22.75
2015-12-18,41.09,49.959999,22.559999
2015-12-21,42.400002,51.459999,23.309999
2015-12-22,42.900002,51.75,23.370001
2015-12-23,43.290001,51.740002,23.309999
2015-12-24,43.810001,52.259998,23.33
2015-12-28,43.23,51.950001,23.290001
2015-12-29,43.5,52.169998,23.42
2015-12-30,42.799999,51.169998,23.01
2015-12-31,42.349998,50.689999,22.65
2016-01-04,40.91,48.66,21.879999
2016-01-05,40.52,48.57,21.790001
2016-01-06,41.23,48.93,21.85
2016-01-07,40.450001,47.0,20.780001
2016-01-08,40.369999,46.610001,20.280001
2016-01-11,41.080002,46.740002,20.49
2016-01-12,42.0,46.959999,20.879999
2016-01-13,40.099998,44.939999,19.99
2016-01-14,40.549999,45.34,20.68
2016-01-15,38.759998,44.5,20.690001
2016-01-19,38.860001,45.959999,20.26
2016-01-20,39.060001,45.689999,20.83
2016-01-21,39.790001,46.52,20.82
2016-01-22,40.16,46.759998,21.51
2016-01-25,38.880001,45.939999,21.57
2016-01-26,39.639999,46.110001,21.58
2016-01-27,39.689999,44.720001,21.25
2016-01-28,38.139999,43.200001,19.92
2016-01-29,38.990002,44.290001,21.309999
2016-02-01,39.380001,45.209999,22.379999
2016-02-02,37.029999,43.610001,21.290001
2016-02-03,37.509998,43.799999,20.84
2016-02-04,38.209999,44.040001,20.76
2016-02-05,36.75,42.009998,19.700001
2016-02-08,35.549999,40.77,19.34
2016-02-09,36.189999,41.98,20.08
2016-02-10,37.119999,43.27,20.129999
2016-02-11,36.490002,42.700001,20.49
2016-02-12,37.82,42.990002,21.25
2016-02-16,38.610001,44.580002,21.440001
2016-02-17,39.34,46.099998,21.48
2016-02-18,39.540001,46.459999,21.299999
2016-02-19,39.759998,46.720001,21.360001
2016-02-22,40.84,48.82,22.389999
2016-02-23,40.380001,48.950001,22.530001
2016-02-24,40.66,48.939999,23.370001
2016-02-25,41.360001,49.200001,23.200001
2016-02-26,40.869999,47.860001,22.299999
2016-02-29,41.0,48.240002,22.0
2016-03-01,41.830002,48.900002,22.299999
2016-03-02,41.59,48.549999,22.4
2016-03-03,41.880001,48.790001,22.25
2016-03-04,41.630001,48.669998,21.98
2016-03-07,42.130001,48.389999,21.9
2016-03-08,40.77,46.220001,19.91
2016-03-09,41.650002,46.740002,20.09
