,prev_date,curr_date,ticker,prev_value,curr_value,change_pct
1422,2017-08-31,2017-09-01,d,78.047935,77.611977,-0.00558577238462
1423,2017-08-31,2017-09-01,f,10.894718,11.210793,0.0290117651508
1424,2017-08-31,2017-09-01,g,28.335831,28.345789,0.000351427844131
1425,2017-08-31,2017-09-01,l,46.520908,46.850487,0.00708453497941
1426,2017-08-31,2017-09-01,m,20.124496,20.744606,0.0308136909367
1427,2017-08-31,2017-09-01,p,8.45,8.31,-0.0165680473373
1428,2017-08-31,2017-09-01,s,8.25,8.27,0.00242424242424
1429,2017-08-31,2017-09-01,w,71.010002,72.459999,0.0204196163802
1430,2017-09-01,2017-09-05,a,64.247627,64.157814,-0.00139791933483
1431,2017-09-01,2017-09-05,b,62.442741,62.263138,-0.00287628308949
1432,2017-09-01,2017-09-05,c,68.286377,66.872459,-0.0207057111845
1433,2017-09-01,2017-09-05,d,77.611977,77.473259,-0.00178732723172
1434,2017-09-01,2017-09-05,f,11.210793,11.220671,0.000881115189621
1435,2017-09-01,2017-09-05,g,28.345789,28.056953,-0.0101897322385
1436,2017-09-01,2017-09-05,l,46.850487,45.781845,-0.0228096241561
1437,2017-09-01,2017-09-05,m,20.744606,20.357037,-0.018682880745
1438,2017-09-01,2017-09-05,p,8.31,8.56,0.0300842358604
1439,2017-09-01,2017-09-05,s,8.27,8.18,-0.0108827085852
1440,2017-09-01,2017-09-05,w,72.459999,73.629997,0.0161468122571
1441,2017-09-05,2017-09-06,a,64.157814,64.57695,0.00653289091178
1442,2017-09-05,2017-09-06,b,62.263138,60.437149,-0.0293269671053
1443,2017-09-05,2017-09-06,c,66.872459,67.031769,0.00238229612582
1444,2017-09-05,2017-09-06,d,77.473259,77.275093,-0.00255786322349
1445,2017-09-05,2017-09-06,f,11.220671,11.358953,0.0123238619152
1446,2017-09-05,2017-09-06,g,28.056953,27.937435,-0.00425983534278
1447,2017-09-05,2017-09-06,l,45.781845,46.111427,0.00719896718885
1448,2017-09-05,2017-09-06,m,20.357037,21.480986,0.055211816926
1449,2017-09-05,2017-09-06,p,8.56,8.42,-0.0163551401869
1450,2017-09-05,2017-09-06,s,8.18,8.13,-0.00611246943765
1451,2017-09-05,2017-09-06,w,73.629997,73.059998,-0.00774139648546
1452,2017-09-06,2017-09-07,a,64.57695,65.006065,0.00664501807534
1453,2017-09-06,2017-09-07,b,60.437149,63.131229,0.0445765567135
1454,2017-09-06,2017-09-07,c,67.031769,65.777161,-0.0187166177876
1455,2017-09-06,2017-09-07,d,77.275093,77.532707,0.00333372617229
1456,2017-09-06,2017-09-07,f,11.358953,11.26018,-0.00869560777301
1457,2017-09-06,2017-09-07,g,27.937435,28.057211,0.00428729409124
