Date,AAL,AAPL,AMZN,BAC,MSFT,PCLN,PEP
2017-05-24,46.675323,152.740189,980.349976,23.165037,68.40554,1848.73999,114.467278
2017-05-25,47.922794,153.268112,993.380005,23.055954,69.251045,1860.430054,115.917099
2017-05-26,48.641338,153.00914,995.780029,23.046038,69.589233,1863.900024,116.291885
2017-05-30,47.862915,153.068893,996.700012,22.718792,70.036858,1857.449951,116.390518
2017-05-31,48.312004,152.16246,994.619995,22.295954,69.469872,1877.089966,116.057846
2017-06-01,48.950706,152.580811,995.950012,22.514833,69.728493,1890.819946,116.415344
2017-06-02,49.419758,154.841934,1006.72998,22.335752,71.3797,1895.959961,116.85228
2017-06-05,49.639313,153.327881,1011.340027,22.295954,71.896942,1891.579956,117.060822
2017-06-06,49.639313,153.845856,1003.0,22.116871,72.135666,1889.859985,116.882072
2017-06-07,50.757046,154.762253,1010.070007,22.484987,72.006363,1890.369995,116.236595
2017-06-08,51.32589,154.383743,1010.27002,22.853104,71.568687,1892.380005,115.084648
2017-06-09,50.16824,148.397247,978.309998,23.549541,69.947327,1842.119995,115.134308
2017-06-12,49.379837,144.851166,964.909973,23.658983,69.410194,1812.98999,115.422295
2017-06-13,49.349899,146.016586,980.789978,23.649035,70.275581,1843.52002,115.511665
2017-06-14,49.29002,144.592194,976.469971,23.639084,69.897591,1831.609985,116.554367
2017-06-15,49.010586,143.725586,964.169983,23.420204,69.529556,1809.199951,116.395477
2017-06-16,48.691235,141.713501,987.710022,23.310764,69.629028,1802.609985,116.047913
2017-06-19,49.559475,145.767578,995.169983,23.788321,70.494415,1851.599976,116.474922
2017-06-20,47.932774,144.442764,992.590027,23.370459,69.539505,1850.640015,117.130333
2017-06-21,48.331963,145.299408,1002.22998,23.012289,69.897591,1867.780029,116.604019
2017-06-22,48.870872,145.060364,1001.299988,22.813309,69.88765,1862.930054,115.34285
2017-06-23,48.531559,145.707809,1003.73999,22.703867,70.832611,1874.280029,116.147217
2017-06-26,48.681255,145.249619,993.97998,22.773512,70.156219,1876.339966,116.306107
2017-06-27,48.401821,143.167786,976.780029,23.151579,68.843208,1858.25,115.134308
2017-06-28,49.150303,145.259567,990.330017,23.758472,69.430092,1890.209961,115.571243
2017-06-29,49.519554,143.117966,975.929993,24.196234,68.127029,1876.98999,114.379585
2017-06-30,50.218136,143.45665,968.0,24.136539,68.564697,1870.52002,114.687431
2017-07-03,50.287994,142.93869,953.659973,24.554403,67.808723,1843.130005,114.637779
2017-07-05,51.156235,143.526367,971.400024,24.79318,68.713905,1866.01001,114.498756
2017-07-06,51.944633,142.171692,965.140015,24.584249,68.206604,1872.300049,114.329933
2017-07-07,52.922649,143.616013,978.76001,24.703638,69.091888,1918.5,114.707298
2017-07-10,52.553402,144.492584,996.469971,24.763332,69.609138,1921.819946,113.475906
2017-07-11,51.505527,144.960739,994.130005,24.47481,69.61908,1929.150024,112.949593
2017-07-12,53.691093,145.169922,1006.51001,24.226082,70.772934,1946.180054,113.972435
2017-07-13,53.701073,147.191986,1000.630005,24.494709,71.389641,1940.699951,113.227646
2017-07-14,54.110245,148.457001,1001.809998,24.086794,72.394295,1950.869995,114.131325
2017-07-17,53.760952,148.974976,1010.039978,23.897762,72.961273,1945.459961,114.131325
2017-07-18,53.042412,149.49295,1024.449951,23.778372,72.911537,1976.23999,114.21077
2017-07-19,52.503502,150.429276,1026.869995,23.937557,73.468567,1992.099976,114.538467
2017-07-20,52.234047,149.751923,1028.699951,23.818169,73.82666,1999.219971,114.707298
2017-07-21,51.80492,149.682205,1025.670044,23.678881,73.398941,1994.890015,115.819504
2017-07-24,51.176193,151.495071,1038.949951,23.788321,73.209946,2002.01001,115.322983
2017-07-25,50.507549,152.142548,1039.869995,24.355419,73.796822,2016.910034,115.640755
2017-07-26,50.906738,152.859726,1052.800049,24.086794,73.657562,2033.209961,116.375618
2017-07-27,49.898785,149.971069,1046.0,23.987305,72.772285,2025.089966,116.524574
2017-07-28,50.387794,148.915207,1020.039978,23.907711,72.652916,2024.060059,115.799652
2017-07-31,50.337894,148.148224,987.780029,23.997253,72.314713,2028.5,115.799652
2017-08-01,50.956642,149.463058,996.190002,24.325573,72.195358,2024.589966,115.114441
2017-08-02,50.347874,156.52533,995.890015,24.464861,71.877052,2021.369995,114.806595
2017-08-03,50.44767,154.961472,986.919983,24.245981,71.767632,2027.97998,115.491806
2017-08-04,50.697166,155.778259,987.580017,24.842926,72.294823,2032.77002,115.561317
2017-08-07,50.477612,158.188797,992.27002,24.832977,72.016312,2042.640015,116.147217
2017-08-08,49.898785,159.453827,989.840027,24.773283,72.404243,2049.0,115.898956
2017-08-09,49.300003,160.429993,982.01001,24.614098,72.085938,1906.800049,115.819504
2017-08-10,48.549999,155.320007,956.919983,23.997253,71.031555,1849.619995,115.571243
2017-08-11,48.349998,157.479996,967.98999,23.738577,72.115776,1854.170044,115.700348
2017-08-14,48.810001,159.850006,983.299988,24.295725,73.199997,1873.949951,117.021095
2017-08-15,48.52,161.600006,982.73999,24.34547,73.220001,1860.839966,118.14325
2017-08-16,48.41,160.949997,978.179993,24.066896,73.650002,1855.719971,118.272346
2017-08-17,46.029999,157.860001,960.570007,23.519695,72.400002,1812.969971,117.567276
2017-08-18,45.549999,157.5,958.469971,23.499798,72.489998,1810.0,116.782768
2017-08-21,45.709999,157.210007,953.289978,23.261017,72.150002,1801.540039,117.438187
2017-08-22,45.41,159.779999,966.900024,23.708729,73.160004,1818.199951,117.10054
2017-08-23,43.970001,159.979996,958.0,23.639084,72.720001,1813.02002,116.474922
2017-08-24,42.919998,159.270004,952.450012,23.718678,72.690002,1815.51001,115.412361
2017-08-25,45.25,159.860001,945.26001,23.649035,72.82,1793.47998,115.04493
2017-08-28,44.950001,161.470001,946.02002,23.599287,72.830002,1789.910034,114.737083
2017-08-29,44.560001,162.910004,954.059998,23.460001,73.050003,1807.060059,115.034996
2017-08-30,44.32,163.350006,967.590027,23.870001,74.010002,1813.0,115.150002
2017-08-31,44.740002,164.0,980.599976,23.889999,74.769997,1852.079956,115.730003
2017-09-01,45.310001,164.050003,978.25,24.09,73.940002,1850.819946,115.839996
2017-09-05,43.919998,162.080002,965.27002,23.309999,73.610001,1842.890015,115.870003
2017-09-06,44.310001,161.910004,967.799988,23.41,73.400002,1842.449951,116.349998
2017-09-07,43.84,161.259995,979.469971,22.969999,74.339996,1845.369995,116.989998
2017-09-08,43.599998,158.630005,965.900024,22.889999,73.980003,1838.569946,115.040001
2017-09-11,45.860001,161.5,977.960022,23.360001,74.760002,1868.859985,115.690002
2017-09-12,46.290001,160.860001,982.580017,23.950001,74.68,1868.640015,115.0
2017-09-13,47.0,159.649994,999.599976,24.33,75.209999,1871.170044,114.449997
2017-09-14,46.189999,158.279999,992.210022,24.24,74.769997,1845.290039,114.190002
2017-09-15,46.0,159.880005,986.789978,24.379999,75.309998,1843.199951,114.849998
2017-09-18,45.310001,158.669998,974.190002,24.700001,75.160004,1854.180054,114.989998
2017-09-19,44.380001,158.729996,969.859985,24.860001,75.440002,1859.780029,114.489998
2017-09-20,45.419998,156.070007,973.210022,25.059999,74.940002,1866.209961,113.580002
2017-09-21,46.290001,153.389999,964.650024,25.16,74.209999,1866.349976,112.800003
2017-09-22,47.060001,151.889999,955.099976,25.02,74.410004,1862.130005,111.849998
